run,graph,num_rows,num_cols,nnz,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
4,ldoor,952203,952203,46522475,48.8577,78.0552,76.253,75.5656,75.4145,75.4757,75.5028,1.02363,1.03295,1.03502,1.03418,1.0338
4,roadNet-CA,1971281,1971281,5533214,2.80691,16.7355,15.5504,15.5616,15.5827,15.5987,15.7288,1.07622,1.07544,1.07398,1.07288,1.06401
4,chesapeake,39,39,340,8.71795,293.888,0.059451,0.05138,0.048578,0.048572,0.048467,4943.37,5719.89,6049.82,6050.57,6063.67
4,hollywood-2009,1139905,1139905,113891327,99.913,188.293,183.315,182.868,181.599,180.81,180.977,1.02715,1.02966,1.03686,1.04138,1.04042
4,ldoor,952203,952203,46522475,48.8577,75.655,75.0349,74.4006,73.5963,74.0807,73.9809,1.00826,1.01686,1.02797,1.02125,1.02263
4,roadNet-CA,1971281,1971281,5533214,2.80691,16.2717,15.0905,15.0505,15.1765,15.0675,15.0322,1.07827,1.08114,1.07216,1.07992,1.08246
4,chesapeake,39,39,340,8.71795,297.752,0.062997,0.054848,0.093702,0.068515,0.054304,4726.45,5428.68,3177.65,4345.79,5483.06
4,hollywood-2009,1139905,1139905,113891327,99.913,182.185,179.519,180.859,179.929,180.012,180.319,1.01485,1.00733,1.01254,1.01207,1.01035
4,ldoor,952203,952203,46522475,48.8577,73.4785,72.7884,72.4879,71.8331,72.3551,72.3792,1.00948,1.01367,1.02291,1.01553,1.01519
4,roadNet-CA,1971281,1971281,5533214,2.80691,16.1041,15.2462,15.2503,15.2339,15.2135,15.2832,1.05627,1.05599,1.05712,1.05854,1.05371
4,chesapeake,39,39,340,8.71795,299.012,0.062798,0.053715,0.052797,0.05216,0.052008,4761.48,5566.63,5663.42,5732.58,5749.34
4,hollywood-2009,1139905,1139905,113891327,99.913,184.767,179.197,178.051,178.686,179.584,181.695,1.03108,1.03772,1.03403,1.02886,1.01691
4,ldoor,952203,952203,46522475,48.8577,73.4955,72.8722,71.7751,71.866,71.7576,71.6039,1.00855,1.02397,1.02268,1.02422,1.02642
4,roadNet-CA,1971281,1971281,5533214,2.80691,16.2176,15.2472,15.3302,15.2804,15.1846,15.1111,1.06365,1.05789,1.06134,1.06803,1.07322
4,chesapeake,39,39,340,8.71795,277.78,0.058203,0.051962,0.04992,0.048211,0.048954,4772.61,5345.83,5564.5,5761.75,5674.31
4,hollywood-2009,1139905,1139905,113891327,99.913,184.922,182.643,182.084,182.083,183.331,183.602,1.01248,1.01559,1.01559,1.00868,1.00719
4,ldoor,952203,952203,46522475,48.8577,74.6386,73.0053,73.8595,74.1083,73.0232,74.0035,1.02237,1.01055,1.00716,1.02212,1.00858
4,roadNet-CA,1971281,1971281,5533214,2.80691,16.4784,15.3611,15.3105,15.6279,15.3717,15.0984,1.07274,1.07628,1.05442,1.07199,1.0914
4,chesapeake,39,39,340,8.71795,299.804,0.072811,0.069375,0.056683,0.051892,0.051643,4117.57,4321.51,5289.14,5777.47,5805.33
4,hollywood-2009,1139905,1139905,113891327,99.913,187.255,181.781,181.477,179.583,180.056,179.599,1.03011,1.03184,1.04272,1.03998,1.04263
4,ldoor,952203,952203,46522475,48.8577,74.6795,74.1109,73.7726,73.6425,72.7585,72.8374,1.00767,1.01229,1.01408,1.0264,1.02529
